c,rb,rs
-3.9862395680929885,0.999253711,0.944283111
-3.978106345851491,0.995598495,1.068142585
-3.9756642225966954,1.001485419,1.071092619
-3.9727085853524886,1.003081105,0.921888485
-3.969009739888196,1.005141515,1.061274465
-3.968951463357041,0.995275832,1.008762642
-3.967082805252683,0.998367946,1.051605716
-3.965011841697928,1.004892491,0.984443543
-3.968625632569669,1.00848906,0.91490336
-3.981041466528223,0.993891081,1.123633581
-3.9779524668080732,1.002935473,1.0987404729999999
-3.969910838170569,1.013778305,1.066434435
-3.9739126113747445,1.004419009,0.986854869
-3.970813703660906,1.021111088,0.968031838
-3.974074594878794,1.020025695,0.875396995
-3.9757703729436273,1.011569683,1.059639503
-3.975463942464915,1.018780966,0.909111946
-3.9746643406947997,1.021723357,0.982061501
-3.969687553214627,1.002745118,1.098165318
-3.957999982820713,1.008037286,1.174986986
-3.9503553932592252,1.012495999,1.093185799
-3.9401930823951625,1.012302233,1.107636333
-3.928343564167737,1.008239722,0.984475173
-3.920345642693546,1.015759609,0.991900743
-3.920391322325556,1.011408954,0.958158814
-3.9103494565925287,1.014068117,0.965266227
-3.9036771789256934,1.017841245,1.088191565
-3.8960781529227697,1.013588721,1.012252621
-3.8838469548637216,1.01032603,1.08605057
-3.87748100888107,1.009106722,1.067738262
-3.8679129664555623,1.010480454,0.948537424
-3.86229152253347,1.009115324,1.159026924
-3.8612553691746276,1.007561273,1.132909973
-3.857398181752254,1.015361063,1.053189383
-3.85398940800643,1.005759182,0.926344622
-3.84686954840241,1.006443629,1.037519239
-3.838998033793551,1.002651488,1.192512488
-3.832651030337733,1.005435622,1.030478152
-3.828693857865169,1.005632241,1.052163981
-3.823517927898152,1.005283221,0.764888921
-3.814781056328545,1.003980287,1.0602750969999999
-3.808991800509453,1.004023248,1.052815088
-3.7997614518036746,1.005345764,0.990805022
-3.7928716175039985,1.00980955,1.01722688
-3.790369956830286,1.0092266,1.05742983
-3.78914554618951,1.00558766,1.07042324
-3.7840374375007233,1.012334829,1.094299129
-3.7760843189120337,1.010021624,1.004210544
-3.78194014591461,1.003421919,0.950957949
-3.7743732922392614,1.0071236,1.04214687
-3.7703614337092413,1.004265032,0.850953232
-3.776924616184365,1.002825524,1.071078654
-3.7800451939861537,1.007418635,1.137631435
-3.772868986931704,1.007949724,0.993093998
-3.7723709386543076,1.005641073,1.049515073
-3.773685163559446,1.001741277,1.072180847
-3.7624681272805662,1.001257919,0.972321699
-3.7590373611341663,1.002458933,1.006000613
-3.753263277884429,0.999526215,1.022926975
-3.746079167630234,1.000947525,1.049545765
-3.745745171970005,1.001566,1.04100166
-3.745163751281674,1.001024222,0.99914432
-3.7344400748772064,1.004148299,1.027917309
-3.7306825547614495,1.00245674,1.01486875
-3.7237988615601267,1.004670552,0.957593462
-3.7194978495261024,1.004948297,0.994306518
-3.715591875144725,1.0023815,1.03944634
-3.7120403284145977,1.009136228,0.986205457
-3.708836518134853,1.009322256,1.085258436
-3.7031004143370745,1.007198233,1.077016933
-3.699879978627473,1.007876967,1.077202187
-3.6974234099761842,1.007771113,1.050989213
-3.691024152335877,1.005493736,1.051731816
-3.6858084943415377,1.004357189,1.029420619
-3.682576241164825,1.007647036,1.023448586
-3.678966312071075,1.004122324,1.065569134
-3.6753934405659097,1.007069017,1.012469087
-3.6717857868566246,1.008736917,1.160324517
-3.66218922832594,1.008315171,1.078144171
-3.6568010326640037,1.008330385,1.026899155
-3.6471910957952005,1.010594715,1.124351315
-3.6381494963706817,1.009546311,1.012820231
-3.631253431842076,1.006630613,0.867015213
-3.6273926722995595,1.005754305,1.189435305
-3.619114763222892,1.007116223,1.012201933
-3.61089478891158,1.003236441,1.068846201
-3.605032655792246,1.004811123,0.907706473
-3.5948684451394133,1.005361222,1.094611422
-3.598792893684837,1.003510817,0.995939122
-3.590909469274724,1.008438035,0.989140482
-3.585226211016875,1.008770993,1.036502633
-3.5789312261198347,1.008916375,0.987984918
-3.5791818173778123,1.00122632,0.89821973
-3.579196441919062,1.000338037,1.041849247
-3.578458921959506,1.003967441,0.877686841
-3.5738394838905716,1.002046945,1.087971215
-3.570682139838347,1.000693687,1.016585817
-3.567789075971493,0.99560028,0.88496248
-3.568408797792177,0.998337715,0.834343215
-3.565583606412248,0.997333072,1.062030802
-3.567032969902794,0.992488986,0.952951486
-3.56527835404335,0.998912555,1.157939455
-3.557759406446244,0.994346647,1.015192917
-3.5550399189701967,0.996771582,1.122753982
-3.5443165677787434,0.992066685,1.025422485
-3.5394573650426437,0.993101274,0.99665879
-3.5344988692882864,0.998095604,0.992642304
-3.5278811642027197,0.997057008,1.085320648
-3.5236393583496297,1.000663502,0.986994218
-3.5187167845727054,0.998523773,1.012290273
-3.51402907049237,0.996017263,1.033717493
-3.510907208543307,1.001163648,1.013463628
-3.5059171026727323,1.00532985,1.0500210700000001
-3.501679980391295,1.000377173,0.98209101
-3.4990674872824004,1.005057705,1.037812005
-3.491831169850087,1.014024135,1.074967115
