price,bedrooms,living_area_sqft,year_built,neighborhood
119000,2,804,1940,OldTown
130000,3,1316,1929,OldTown
119000,3,1251,1938,OldTown
129000,3,1633,1948,OldTown
100000,3,1245,1920,OldTown
12789,2,832,1923,OldTown
105900,2,720,1928,OldTown
150000,3,1566,1900,OldTown
139000,4,1652,1915,OldTown
240000,3,2268,1890,OldTown
76500,4,2256,1910,OldTown
149700,2,1236,1957,OldTown
125500,3,1363,1910,OldTown
122500,4,2290,1885,OldTown
140750,2,1470,1922,OldTown
128500,3,1612,1950,BrkSide
209500,3,2068,1922,BrkSide
87000,2,765,1925,BrkSide
134000,2,1132,1939,BrkSide
128000,3,1196,1940,BrkSide
132000,3,1453,1942,BrkSide
139900,3,1416,1948,BrkSide
123900,2,1040,1936,BrkSide
138400,4,1536,1930,BrkSide
109500,2,1068,1923,OldTown
140000,3,1710,1921,OldTown
149500,4,1962,1915,OldTown
159900,3,1560,1912,OldTown
122000,3,1324,1920,OldTown
110000,2,816,1963,IDOTRR
55000,3,1092,1930,IDOTRR
140000,4,1812,1900,OldTown
244400,4,2403,1940,ClearCr
173000,3,1675,1959,ClearCr
107500,3,1224,1917,ClearCr
100000,3,1392,1915,SWISU
95000,3,919,1940,SWISU
93369,4,1884,1907,SWISU
114900,2,1680,1910,SWISU
94000,2,1020,1875,Sawyer
136000,4,1832,1967,Sawyer
136500,4,1768,1968,Sawyer
131500,3,1039,1965,Sawyer
121500,3,1392,1957,Sawyer
125000,3,912,1967,Sawyer
154000,3,1060,1968,Sawyer
137900,3,892,1966,Sawyer
158000,4,1352,1969,Sawyer
137250,2,864,1968,Sawyer
160250,3,1373,1978,Sawyer
163000,4,1440,1968,Sawyer
158900,3,1386,1978,Sawyer
328000,3,2260,1996,ClearCr
270000,1,1483,1977,ClearCr
85000,2,756,1927,Sawyer
128000,2,1067,1950,Sawyer
260000,0,1524,1979,ClearCr
230000,4,1981,1978,ClearCr
124000,4,1610,1938,Edwards
83000,2,835,1920,Edwards
144500,3,1074,1950,Edwards
129000,3,1144,1956,Edwards
127000,3,1531,1947,Edwards
128000,3,1172,1954,Edwards
186000,3,1212,2009,Edwards
308030,1,1508,2009,Edwards
114000,3,1298,1964,Edwards
84900,2,930,1946,Edwards
178000,3,1732,1985,SawyerW
270000,1,1433,1987,SawyerW
218000,3,1802,1993,SawyerW
236000,3,1949,1993,SawyerW
147000,2,996,1992,SawyerW
245350,3,1694,2008,CollgCr
206000,2,1208,2006,CollgCr
198900,3,1226,2009,CollgCr
187000,2,1222,2010,CollgCr
320000,5,3222,1990,SawyerW
138500,3,1445,1900,SawyerW
155000,3,1052,1971,ClearCr
159000,2,965,1996,CollgCr
191000,3,1692,1997,CollgCr
200500,3,1682,1998,CollgCr
150000,3,1026,1977,CollgCr
161750,3,1392,1977,CollgCr
128200,3,894,1976,CollgCr
127000,3,876,1972,CollgCr
318000,3,1978,2003,CollgCr
272000,3,1601,2001,CollgCr
237000,3,1829,2003,CollgCr
240000,4,2098,1997,CollgCr
224900,3,1661,1998,CollgCr
143750,1,848,2003,CollgCr
143000,1,848,2004,CollgCr
232000,3,1668,2003,CollgCr
213000,3,1484,2004,CollgCr
185500,3,1414,2004,CollgCr
84900,2,640,1945,Edwards
155891,3,992,1954,Edwards
100000,4,1664,1965,Edwards
144000,3,1196,1968,Edwards
64000,2,1120,1948,Edwards
125200,3,1096,1975,Edwards
107000,3,1117,1976,Edwards
90000,3,960,1958,Edwards
140000,2,1121,2003,Edwards
113000,3,1487,1945,Edwards
80000,2,924,1941,Edwards
144500,4,1526,1957,Edwards
104000,2,1296,1924,SWISU
128000,4,1647,1915,SWISU
58500,2,864,1914,Edwards
127000,3,1691,1924,SWISU
126000,2,856,1939,SWISU
160000,6,2650,1967,SWISU
100000,3,1666,1931,SWISU
169000,4,2447,1919,SWISU
257500,4,2133,1941,Crawfor
215000,5,2177,1950,Crawfor
266500,4,2340,1941,Crawfor
335000,3,1902,1959,Crawfor
203135,3,1652,1994,Crawfor
185000,1,1034,1989,Blueste
162500,2,1191,1989,Blueste
289000,1,1801,1959,Crawfor
125500,3,1154,1922,IDOTRR
82000,1,540,1941,IDOTRR
110000,2,1107,1921,IDOTRR
68400,2,1128,1920,IDOTRR
102776,2,1178,1900,IDOTRR
55993,2,1044,1952,IDOTRR
50138,3,952,1896,IDOTRR
246000,2,1646,2004,Crawfor
254900,3,1916,1998,Mitchel
190000,3,1285,1977,Mitchel
201000,3,1560,2003,Mitchel
169900,3,1034,1976,Mitchel
170000,5,2048,1976,Mitchel
160000,3,1687,1948,Timber
220000,3,1346,2008,Timber
179781,2,1214,2009,Timber
174000,3,1444,2006,Timber
269500,4,1968,2009,Timber
214900,4,1894,2002,Timber
202900,4,1908,2002,Timber
378500,3,2018,2008,Timber
169000,2,1264,1965,Mitchel
173500,3,1430,2004,Mitchel
139000,4,1824,1971,Mitchel
166500,3,1344,1999,Mitchel
83500,3,1092,1973,MeadowV
119500,2,945,1973,MeadowV
85000,3,1112,1976,MeadowV
76000,3,1092,1970,MeadowV
75500,1,630,1972,MeadowV
88250,3,1092,1970,MeadowV
85500,3,1092,1972,MeadowV
130000,3,874,1971,Mitchel
157900,3,1188,1962,Mitchel
149900,2,833,1984,Mitchel
159000,4,2432,1985,Mitchel
136000,3,1274,1991,Mitchel
161000,5,1479,1969,Mitchel
285000,3,1803,1994,Mitchel
231000,3,1797,1993,Mitchel
124500,2,882,1956,NAmes
157000,4,1434,1974,NAmes
345000,4,2704,1972,NAmes
189500,3,1608,1997,Gilbert
270000,4,2283,2003,Gilbert
189000,3,1628,1996,Gilbert
377500,3,1746,2006,Gilbert
168500,3,1474,1995,Gilbert
375000,1,2522,2004,StoneBr
278000,2,1659,2000,StoneBr
240000,2,1478,1998,StoneBr
239500,2,1734,1995,StoneBr
177500,3,1382,1998,Gilbert
185000,3,1718,1998,Gilbert
191000,3,1636,1998,Gilbert
178000,3,1571,1993,Gilbert
185000,3,1470,1993,Gilbert
181316,3,1516,1994,Gilbert
166000,3,1190,1993,Gilbert
178000,3,1593,1992,Gilbert
174000,3,1481,1994,Gilbert
173000,3,1167,1992,Gilbert
225000,3,1983,1999,Gilbert
180500,3,1442,1990,Gilbert
187500,1,1360,1984,StoneBr
501837,1,2234,2008,StoneBr
372500,3,2046,2008,StoneBr
260000,3,1530,2005,StoneBr
185000,3,1934,1977,Gilbert
260000,4,2353,1980,NWAmes
181000,3,1586,1979,NWAmes
82500,3,1411,1977,NWAmes
215000,3,1602,1977,NWAmes
154000,4,2050,1978,NWAmes
200000,3,1671,1978,NWAmes
249000,4,2673,1980,NWAmes
187500,3,1472,1980,NWAmes
184000,3,1707,1978,NWAmes
278000,4,2524,1981,NWAmes
157000,3,1601,1978,NWAmes
152000,3,1370,1976,NWAmes
197500,4,1868,1976,NWAmes
240900,3,1884,2003,Somerst
263435,3,1935,2009,Somerst
220000,3,1874,2000,Somerst
235000,3,1811,2002,Somerst
213000,3,1621,1975,NWAmes
167900,3,1116,1974,NWAmes
158000,3,1193,1975,NWAmes
165000,3,1350,1974,NWAmes
158000,3,2119,1972,NWAmes
136000,4,1792,1974,NAmes
148500,3,1002,1970,NAmes
156000,3,1026,1969,NAmes
128000,2,1180,1970,NAmes
143000,3,1050,1971,NAmes
76500,3,864,1970,NAmes
120500,3,864,1970,NAmes
124500,3,864,1970,NAmes
97000,2,864,1971,NAmes
130000,3,864,1971,NAmes
111000,2,987,1973,BrDale
125000,3,1365,1970,BrDale
112000,3,1302,1971,BrDale
97000,2,987,1972,BrDale
118000,2,987,1972,BrDale
119500,3,1302,1972,BrDale
143750,2,958,1976,NPkVill
146000,3,1548,1976,NPkVill
148500,3,1456,1976,NPkVill
123000,2,1055,1975,NPkVill
147000,3,1322,1974,NPkVill
137900,3,1456,1977,NPkVill
147000,3,1548,1978,NPkVill
148500,3,1441,1978,NPkVill
138000,3,1456,1978,NPkVill
128500,2,836,1976,NPkVill
100000,3,892,1967,NAmes
148800,3,1120,1966,NAmes
337500,3,1718,2006,NridgHt
462000,4,2772,2007,NridgHt
485000,4,3140,2008,NridgHt
555000,2,2402,2008,NridgHt
325000,2,1652,2006,NridgHt
256300,3,1600,2007,NridgHt
253293,3,2042,2008,NridgHt
398800,3,2690,2009,NridgHt
335000,3,2184,2008,NridgHt
404000,3,2020,2008,NridgHt
402861,3,2020,2009,NridgHt
451950,3,2296,2008,NridgHt
610000,2,2674,2007,NridgHt
582933,4,2822,2008,NridgHt
360000,3,1736,2008,NridgHt
296000,3,1782,2004,NridgHt
409900,5,2520,2007,NridgHt
255500,3,1717,2006,NridgHt
335000,3,1743,2008,NridgHt
274900,3,1713,2004,NridgHt
300000,2,1531,2006,NridgHt
324000,3,1808,2008,NridgHt
350000,4,2224,2004,NridgHt
280000,3,1836,2004,NridgHt
284000,3,1629,2003,NridgHt
269500,3,1760,2003,NridgHt
233170,3,1502,2009,NridgHt
386250,3,2392,2003,NridgHt
445000,3,2452,2003,NridgHt
290000,4,2400,2003,NridgHt
255900,3,1606,2006,NridgHt
213000,2,1358,2005,NridgHt
196000,1,1306,2005,NridgHt
184500,1,1306,2005,NridgHt
212500,2,1358,2007,NridgHt
230000,2,1314,2007,NridgHt
552000,2,2492,2004,NridgHt
382500,3,2200,2003,NridgHt
320000,2,1884,2008,NridgHt
248500,2,1456,2008,NridgHt
286500,3,1712,2002,NridgHt
254000,2,1324,2006,NridgHt
173000,2,1405,2003,NridgHt
173000,2,1626,2003,NridgHt
184000,3,1456,2005,Gilbert
167800,3,1490,2005,Gilbert
174000,3,1484,2005,Gilbert
174000,3,1560,2005,Gilbert
174000,2,1555,2007,Blmngtn
175900,1,1569,2007,Blmngtn
192500,2,1555,2005,Blmngtn
181000,1,1504,2005,Blmngtn
180000,2,1220,2005,Blmngtn
160200,2,1145,2005,Blmngtn
188500,3,1432,2004,Gilbert
200000,4,2267,2002,Gilbert
170000,3,1374,2004,Gilbert
189500,3,1630,2004,Gilbert
184100,3,1419,2002,Gilbert
195500,3,1594,2004,Gilbert
192000,3,1489,2003,Gilbert
178000,3,1342,2003,Gilbert
207500,2,1314,2007,NridgHt
236000,4,2256,2000,Gilbert
257500,4,2004,2002,Gilbert
244000,3,2054,2000,Gilbert
167000,3,1374,2004,Gilbert
179000,3,1800,2000,Gilbert
190000,3,1514,2000,Gilbert
156000,3,1430,1999,Gilbert
245000,4,2312,1999,Gilbert
181000,3,1675,1999,Gilbert
214000,3,2060,1999,Gilbert
168000,3,1430,1999,Gilbert
337000,3,2365,1999,NoRidge
403000,4,2794,1995,NoRidge
327000,4,2687,2000,NoRidge
340000,3,2450,1998,NoRidge
336000,4,2612,1998,NoRidge
265000,3,2344,1996,NoRidge
315000,3,2063,1994,NoRidge
260000,4,2646,1993,NoRidge
260000,3,2061,1995,NoRidge
263550,3,2232,1993,NoRidge
402000,4,2448,1994,NoRidge
248000,3,1850,1994,NoRidge
244600,3,1468,2008,Somerst
275000,3,1696,2008,Somerst
257500,3,1658,2008,Somerst
287090,3,1578,2008,Somerst
275500,3,1702,2007,Somerst
245000,3,1432,2006,Somerst
253000,3,1971,2005,Somerst
468000,2,2490,2005,Somerst
252678,3,1852,2009,Somerst
210000,3,1590,2008,Somerst
208300,2,1218,2009,Somerst
225000,3,1436,2008,Somerst
229456,3,1314,2009,Somerst
229800,3,1402,2008,Somerst
250000,3,1530,2007,Somerst
370878,2,1766,2009,Somerst
238500,2,1448,2006,Somerst
310000,3,2007,2008,Somerst
270000,3,1795,2006,Somerst
252000,3,1953,2005,Somerst
241000,2,1550,2006,Somerst
264500,3,1836,2008,Somerst
291000,3,1662,2006,Somerst
263000,4,2094,2003,Somerst
185000,2,1221,2004,Somerst
234500,3,1553,2003,Somerst
209000,3,1653,2003,Somerst
159000,3,1218,2007,SawyerW
152000,3,1141,2006,SawyerW
143500,3,1158,2004,SawyerW
193000,3,1812,2004,SawyerW
203000,3,1512,2004,SawyerW
184900,2,1200,2003,SawyerW
159000,3,1114,2004,SawyerW
142000,3,1114,2004,SawyerW
153000,3,1114,2003,SawyerW
224243,2,1450,2008,SawyerW
220000,4,2122,1996,SawyerW
257000,2,1844,2005,SawyerW
189000,3,1434,2001,SawyerW
171500,3,1730,1992,SawyerW
120000,3,1217,1980,SawyerW
145000,2,1332,1990,SawyerW
184000,3,1540,1994,SawyerW
162000,3,1400,1986,SawyerW
160000,4,1882,1981,SawyerW
82000,2,841,1950,SawyerW
76000,2,784,1928,SawyerW
110000,3,980,1962,Sawyer
135000,3,980,1977,Sawyer
141000,3,864,1961,Sawyer
122000,2,864,1961,Sawyer
124100,3,1020,1965,Sawyer
129000,3,912,1963,Sawyer
131400,3,1144,1961,Sawyer
62383,3,864,1965,Sawyer
123000,3,912,1962,Sawyer
275000,2,2014,1980,Veenker
235000,3,1755,1991,NoRidge
280750,3,3005,2004,Somerst
164500,2,1224,2009,Somerst
173733,2,1224,2009,Somerst
222000,2,1726,2008,Somerst
195000,1,1256,2008,Somerst
172500,3,1471,1999,Somerst
180000,2,1512,2000,Somerst
156000,3,1452,1999,Somerst
172500,3,1739,1999,Somerst
318750,2,1694,1977,Veenker
211500,1,1226,1981,Greens
241600,2,1740,1981,Veenker
180500,4,2499,1976,Veenker
150000,3,1620,1976,Sawyer
154000,4,1556,1968,NWAmes
185000,2,1442,1970,NWAmes
185750,3,1489,1968,NWAmes
200000,3,2090,1973,NWAmes
206000,3,2067,1974,NWAmes
162000,3,1395,1972,NWAmes
256900,5,2640,1967,NWAmes
197900,3,1724,1967,NWAmes
163000,3,1336,1969,NWAmes
113000,3,1216,1969,NWAmes
230000,4,2288,1977,NWAmes
167900,2,1334,1977,NWAmes
213250,3,1680,1998,NWAmes
227000,3,1665,2001,NWAmes
130000,2,864,1967,NAmes
143000,3,1568,1967,NAmes
117500,2,925,1965,NAmes
168500,4,2061,1974,NWAmes
172500,3,1320,1971,NWAmes
161500,3,1342,1967,NWAmes
141500,2,894,1960,NAmes
118000,3,864,1959,NAmes
127500,2,864,1959,NAmes
140000,3,1362,1957,NAmes
177625,3,1728,1956,NAmes
110000,4,1776,1958,NAmes
167000,3,1516,1964,NAmes
153000,3,1313,1961,NAmes
145100,3,1292,1964,NAmes
154000,3,1154,1966,NAmes
177500,4,2140,1965,NAmes
158000,3,1445,1964,NAmes
124500,3,1041,1959,NAmes
174500,4,1576,1961,NAmes
122000,2,960,1955,NAmes
82500,2,708,1940,BrkSide
110000,3,1203,1950,BrkSide
149500,2,1505,1953,NAmes
175000,2,1691,1967,NAmes
167000,3,1644,1953,NAmes
128900,2,1050,1956,NAmes
140000,3,1668,1950,NAmes
147000,3,1113,1950,NAmes
124000,4,1584,1967,NAmes
187500,3,1453,1961,NAmes
159000,3,1394,1963,NAmes
256000,2,1567,1966,NAmes
205000,3,1986,1965,NAmes
193500,4,2142,1968,NAmes
110000,2,1392,1968,NAmes
104900,4,1738,1920,NAmes
150000,3,1144,1956,NAmes
156500,3,1478,1957,NAmes
176000,3,1329,1960,NAmes
149500,3,988,1959,NAmes
139000,3,1632,1958,NAmes
155000,3,1215,1958,NAmes
120000,3,1202,1956,NAmes
153000,3,1382,1955,NAmes
144000,3,1200,1956,NAmes
176000,3,1382,1962,NAmes
153000,3,1297,1954,NAmes
135000,4,1866,1958,NAmes
131000,3,1062,1954,NAmes
123000,3,1319,1953,NAmes
126000,2,1112,1951,NAmes
115000,2,1005,1955,NAmes
164900,2,1363,1951,NAmes
113000,2,793,1945,NAmes
145500,2,1031,1952,NAmes
102900,2,1210,1953,NAmes
95000,3,1699,1900,OldTown
152500,3,1527,1948,NAmes
129900,3,1200,1950,NAmes
132000,2,972,1948,NAmes
99900,2,792,1958,OldTown
135000,3,1656,1916,OldTown
149000,4,1352,1939,OldTown
114000,2,1039,1900,OldTown
109500,2,792,1924,OldTown
125000,3,1078,1925,OldTown
142900,3,2377,1915,OldTown
156500,4,1690,1910,OldTown
59000,2,599,1940,OldTown
105000,2,1374,1920,OldTown
106000,2,846,1920,OldTown
78500,1,725,1890,OldTown
190000,6,2544,1969,NAmes
154000,3,1380,1963,NAmes
163000,3,1040,1967,NAmes
200000,6,2634,1969,NAmes
143500,2,951,1958,NAmes
135000,3,1105,1957,NAmes
153000,2,1306,1957,NAmes
157500,3,1478,1960,NAmes
113500,2,1142,1958,NAmes
133000,3,1268,1949,NAmes
92900,2,1040,1950,NAmes
128500,3,1133,1950,NAmes
90000,2,1040,1949,NAmes
138000,3,1904,1950,NAmes
128000,3,1041,1958,NAmes
139000,3,1339,1958,NAmes
118900,2,732,1952,NAmes
138000,3,1183,1959,NAmes
132500,3,1148,1959,NAmes
133500,4,1461,1949,NAmes
135000,3,1495,1948,NAmes
144750,4,1806,1964,NAmes
145000,2,941,1978,NAmes
127000,3,1045,1963,NAmes
109500,2,894,1962,NAmes
115000,3,1224,1926,OldTown
110000,2,1230,1910,OldTown
128900,3,1378,1935,OldTown
103500,4,1944,1910,OldTown
66500,3,1131,1941,OldTown
130000,3,1306,1910,OldTown
129000,3,1464,1910,OldTown
150000,3,1558,1939,OldTown
107500,4,2372,1892,OldTown
94550,4,1701,1920,OldTown
124500,4,1960,1952,OldTown
135000,3,1389,1946,OldTown
103000,3,1447,1910,OldTown
93000,2,936,1953,OldTown
129500,3,1328,1950,OldTown
93000,3,1387,1954,OldTown
80000,2,861,1920,OldTown
45000,1,612,1940,OldTown
37900,2,968,1910,OldTown
91300,2,886,1938,OldTown
99500,2,792,1923,OldTown
113000,2,1452,1920,OldTown
87500,3,1510,1910,OldTown
110000,2,1284,1947,OldTown
106000,2,2138,1898,OldTown
265979,4,2640,1880,OldTown
160000,3,2007,1900,OldTown
119000,3,1288,1917,OldTown
168000,4,1742,1882,OldTown
58500,2,816,1910,OldTown
143000,3,1482,1920,OldTown
85000,2,1022,1910,OldTown
124900,2,1869,1890,OldTown
119000,3,1480,1920,OldTown
146500,4,1521,1910,OldTown
34900,2,720,1920,IDOTRR
44000,2,797,1900,IDOTRR
223500,3,1576,1923,BrkSide
149000,3,1432,1923,BrkSide
205000,3,1548,1925,BrkSide
137000,3,1654,1930,BrkSide
121000,2,952,1916,BrkSide
128000,3,1324,1936,BrkSide
134900,2,1176,1937,BrkSide
117000,3,1348,1925,BrkSide
132500,4,1412,1939,BrkSide
93000,3,1142,1924,BrkSide
119000,2,904,1926,BrkSide
100000,2,1301,1924,BrkSide
141500,3,1539,1936,BrkSide
133000,3,1573,1935,BrkSide
60000,1,800,1936,BrkSide
105000,2,875,1931,BrkSide
115000,2,995,1925,BrkSide
150000,3,1582,1938,BrkSide
126500,2,1072,1925,BrkSide
214500,5,2134,1916,BrkSide
167500,3,2019,1910,BrkSide
155000,3,1768,1915,OldTown
155000,4,1826,1915,OldTown
179900,3,1944,1915,OldTown
104000,5,2229,1912,OldTown
62500,4,2128,1922,OldTown
149000,4,1930,1927,IDOTRR
103000,2,1208,1925,IDOTRR
123000,3,1427,1915,OldTown
97500,6,1864,1902,OldTown
135000,3,1666,1927,IDOTRR
70000,1,892,1923,IDOTRR
116000,3,1403,1915,IDOTRR
88750,2,704,1946,Sawyer
179000,3,1200,1987,Edwards
179000,3,1200,1987,Edwards
159900,2,1152,1978,Edwards
61000,1,904,1922,Edwards
103600,3,1369,1925,Edwards
63000,4,1112,1934,Edwards
175000,3,1464,1963,Sawyer
139000,3,1121,1963,Sawyer
172500,3,1683,1978,Sawyer
113500,3,1052,1967,Sawyer
130000,3,899,1967,Sawyer
149900,3,1034,1978,Sawyer
134900,2,858,1982,Sawyer
137000,2,860,1982,Sawyer
139000,3,1092,1962,Sawyer
165000,4,1774,1961,Sawyer
148000,3,1138,1960,Sawyer
165000,4,2071,1956,ClearCr
63900,2,660,1947,Sawyer
161500,5,1788,1957,ClearCr
143000,1,1473,1968,ClearCr
135000,3,1229,1956,Edwards
82500,1,861,1940,Edwards
190000,2,1867,1955,ClearCr
139600,4,1733,1955,Edwards
122000,2,1383,1954,Edwards
127500,3,1689,1956,Edwards
121500,2,1073,1956,Edwards
60000,3,1276,1958,Edwards
154400,3,1639,1946,Edwards
113000,2,672,1941,Edwards
125000,3,1089,1954,Edwards
84000,3,845,1957,Edwards
139500,2,1049,1984,Edwards
131000,3,1716,1949,Edwards
105000,2,1258,1939,Edwards
108000,4,1510,1940,Edwards
162000,1,1061,1990,SawyerW
156500,2,1338,1983,SawyerW
316600,1,2132,1983,SawyerW
271900,3,2196,1990,SawyerW
213000,3,1775,1993,SawyerW
239900,3,1879,1993,SawyerW
239500,3,2020,1995,SawyerW
131000,4,2016,1880,SawyerW
118964,4,1535,1979,SawyerW
153337,2,1224,1979,SawyerW
147983,6,2228,1979,SawyerW
118858,4,1535,1979,SawyerW
118858,4,1535,1979,SawyerW
142953,6,2240,1979,SawyerW
148325,2,1229,1979,SawyerW
113722,4,1513,1979,SawyerW
269500,6,2787,2000,SawyerW
269500,6,2787,2000,SawyerW
269500,6,2787,2000,SawyerW
323262,1,1680,2009,CollgCr
297000,3,1718,2007,CollgCr
295493,3,1630,2008,CollgCr
332000,3,1720,2008,CollgCr
239900,3,1468,2008,CollgCr
212000,3,1768,2007,CollgCr
272500,3,1838,2007,CollgCr
239000,2,1800,2007,CollgCr
220000,3,1604,2006,CollgCr
200000,2,1290,2007,CollgCr
221800,2,1254,2008,CollgCr
194500,2,1232,2007,CollgCr
237000,3,1498,2005,CollgCr
173000,3,1422,2005,CollgCr
275000,2,1644,1989,SawyerW
233500,3,1759,1992,ClearCr
185000,3,2126,1967,ClearCr
152000,3,1040,1996,CollgCr
143000,3,990,1994,CollgCr
231500,3,1764,1997,CollgCr
212000,3,1661,1996,CollgCr
207000,3,1463,1998,CollgCr
145000,3,1097,1994,CollgCr
138000,3,990,1994,CollgCr
197900,3,1779,1998,CollgCr
204000,3,1501,1999,CollgCr
192000,3,1431,1999,CollgCr
200000,3,1772,1998,CollgCr
195000,3,1660,2002,CollgCr
227000,3,1573,2002,CollgCr
